"Caller","Calls","CallerFile"
"sp_ChainOfThoughtReasoning","sp_GenerateText","dbo.sp_ChainOfThoughtReasoning.sql"
"sp_ChainOfThoughtReasoning","sp_TextToEmbedding","dbo.sp_ChainOfThoughtReasoning.sql"
"sp_AttentionInference","sp_AttentionInference","dbo.sp_AttentionInference.sql"
"sp_AttentionInference","sp_GenerateWithAttention","dbo.sp_AttentionInference.sql"
"sp_QueryLineage","sp_QueryLineage","dbo.sp_QueryLineage.sql"
"sp_ComputeSemanticFeatures","sp_ComputeSemanticFeatures","dbo.sp_ComputeSemanticFeatures.sql"
"sp_ListWeightSnapshots","sp_RollbackWeightsToTimestamp","Admin.WeightRollback.sql"
"sp_ListWeightSnapshots","sp_CreateWeightSnapshot","Admin.WeightRollback.sql"
"sp_ListWeightSnapshots","sp_RestoreWeightSnapshot","Admin.WeightRollback.sql"
"sp_ListWeightSnapshots","sp_ListWeightSnapshots","Admin.WeightRollback.sql"
"sp_CreateWeightSnapshot","sp_RollbackWeightsToTimestamp","Admin.WeightRollback.sql"
"sp_CreateWeightSnapshot","sp_CreateWeightSnapshot","Admin.WeightRollback.sql"
"sp_CreateWeightSnapshot","sp_RestoreWeightSnapshot","Admin.WeightRollback.sql"
"sp_CreateWeightSnapshot","sp_ListWeightSnapshots","Admin.WeightRollback.sql"
"sp_FindRelatedDocuments","sp_FindRelatedDocuments","dbo.sp_FindRelatedDocuments.sql"
"sp_SubmitInferenceJob","sp_SubmitInferenceJob","dbo.sp_SubmitInferenceJob.sql"
"sp_GenerateEventsFromStream","sp_GenerateEventsFromStream","dbo.sp_GenerateEventsFromStream.sql"
"sp_FindNearestAtoms","sp_FindNearestAtoms","dbo.sp_FindNearestAtoms.sql"
"sp_GetUsageAnalytics","sp_GetUsageAnalytics","dbo.sp_GetUsageAnalytics.sql"
"sp_ComputeAllSemanticFeatures","sp_ComputeSemanticFeatures","dbo.sp_ComputeAllSemanticFeatures.sql"
"sp_SemanticSearch","sp_SemanticSearch","dbo.sp_SemanticSearch.sql"
"sp_SemanticSearch","sp_TextToEmbedding","dbo.sp_SemanticSearch.sql"
"sp_SemanticSearch","sp_ComputeSpatialProjection","dbo.sp_SemanticSearch.sql"
"sp_SemanticSearch","sp_HybridSearch","dbo.sp_SemanticSearch.sql"
"sp_TemporalVectorSearch","sp_TemporalVectorSearch","dbo.sp_TemporalVectorSearch.sql"
